Name,customerID,Number of Calls,Voice National (Min.),Voice International (Min.),Voice Roaming (Min.),Voice Premium (Min.),Data National (MB),Data Roaming (MB),Data Premium (MB),Messaging National,Messaging International,Messaging Roaming,Messaging Premium,"Voice National Charge
ex. Tax
(GBP)","Voice International Charge
ex. Tax
(GBP)","Voice Roaming Charge
ex. Tax
(GBP)","Voice Premium Charge
ex. Tax
(GBP)","Data National Charge
ex. Tax
(GBP)","Data Roaming Charge
ex. Tax
(GBP)","Data Premium Charge
ex. Tax
(GBP)","Messaging National Charge
ex. Tax
(GBP)","Messaging International Charge
ex. Tax
(GBP)","Messaging Roaming Charge
ex. Tax
(GBP)","Messaging Premium Charge
ex. Tax
(GBP)","Usage Charge Total
ex. Tax
(GBP)","Recurring Charge
ex. Tax
(GBP)","Device Fee
ex. Tax
(GBP)","Daily Roaming Fee
ex. Tax
(GBP)","Monthly Roaming Fee
ex. Tax
(GBP)","Adjustments
ex. Tax
(GBP)","Credit
ex. Tax
(GBP)","Total
Taxable
(GBP)","Total
Non-Taxable
(GBP)","Total
ex. Tax
(GBP)","Total Tax
(GBP)","Total
(GBP)"
AADAM,0854-UYHZD,12,40,0,0,0,190.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AADIL,2001-MCUUW,1,24,0,0,0,646.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
AADITYA,0130-SXOUN,0,0,0,0,0,66.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
AAIZ,8246-SHFGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AAKASH,1809-DMJHQ,0,0,0,0,0,29.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AAMIR,3170-GWYKC,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AAMIRA,5197-YPYBZ,0,0,0,0,0,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AAMNA,2722-VOJQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AANYA,3571-RFHAR,8,27,0,0,0,"1,689.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
AARAN,2676-SSLTO,6,30,1,0,0,205.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,1.61,0,1.61,0.32,1.93
